company,rank,rank_change,revenue,profit,num. of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable
Gannett,801,,3208.1,-135,,Media,McLean,VA,no,no,no,no
ResMed,802,,3196.8,474.5,,Health Care,San Diego,CA,no,no,no,yes
Designer Brands,803,,3196.6,154.5,,Retailing,Columbus,OH,no,no,no,yes
Graham Holdings,804,,3186,352.1,,Business Services,Arlington,VA,no,no,no,yes
Lyft,800,,3208.3,-1009.4,,Technology,San Francisco,CA,no,yes,no,no
AptarGroup,796,,3227.2,244.1,,Materials,Crystal Lake,IL,no,no,no,yes
Citrix Systems,797,,3217.2,307.5,,Technology,Fort Lauderdale,FL,no,no,no,yes
IDEXX Laboratories,798,,3215.4,744.8,,Health Care,Westbrook,ME,no,no,no,yes
Tetra Tech,799,,3213.5,232.8,,Engineering & Construction,Pasadena,CA,no,no,no,yes
Applied Industrial Technologies,792,,3235.9,144.8,,Wholesalers,Cleveland,OH,no,no,no,yes
Lincoln Electric Holdings,793,,3234.2,276.5,,Industrials,Cleveland,OH,no,no,no,yes
First Horizon,794,,3234,999,,Financials,Memphis,TN,no,no,no,yes
Spirit Airlines,795,,3230.8,-472.6,,Transportation,Miramar,FL,no,no,no,no
H.B. Fuller,787,,3278,161.4,,Chemicals,St. Paul,MN,no,no,no,yes
Middleby,788,,3250.8,488.5,,Industrials,Elgin,IL,no,no,no,yes
Renewable Energy Group,789,,3244.1,213.8,,Energy,Ames,IA,no,no,yes,yes
MSC Industrial Direct,790,,3243.2,216.9,,Wholesalers,Melville,NY,no,no,no,yes
Vishay Intertechnology,791,,3240.5,298,,Technology,Malvern,PA,no,no,no,yes
Evercore,783,,3307.1,740.1,,Financials,New York,NY,no,no,no,yes
Stewart Information Services,784,,3305.8,323.2,,Financials,Houston,TX,no,no,no,yes
Central Garden & Pet,785,,3303.7,151.7,,Household Products,Walnut Creek,CA,no,no,no,yes
GMS,786,,3298.8,105.6,,Wholesalers,Tucker,GA,no,no,no,yes
Fortinet,778,,3342.2,606.8,,Technology,Sunnyvale,CA,no,yes,no,yes
Brinker International,779,,3337.8,131.6,,"Hotels, Restaurants & Leisure",Dallas,TX,no,no,no,yes
Albemarle,780,,3328,123.7,,Chemicals,Charlotte,NC,no,no,no,yes
Peabody Energy,781,,3318.3,360.1,,Energy,St. Louis,MO,no,no,no,yes
Light & Wonder,782,,3310,371,,"Hotels, Restaurants & Leisure",Las Vegas,NV,no,no,no,yes
Franchise Group,774,,3362.7,363.8,,Retailing,Delaware,OH,no,no,no,yes
NLV Financial,775,,3350.8,392.1,,Financials,Montpelier,VT,no,no,no,yes
